"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"RF","regENN",24,0.222800007208075,0.155547550738007,0.981508206594571
0,"RF","regENN",25,0.225807829239017,0.155790287780856,0.981178741797439
0,"SVM","regENN",1,0.196639558904559,0.134328571475604,0.985634119464297
0,"SVM","regENN",2,0.179832957879195,0.13237396597044,0.987964794805913
0,"SVM","regENN",3,0.184456112078604,0.132410130107859,0.987480040576493
0,"SVM","regENN",4,0.186912173399728,0.129918980762327,0.98680418165541
0,"SVM","regENN",5,0.187341094694894,0.133068119231615,0.986740903127197
0,"SVM","regENN",6,0.18531816227755,0.133160510703972,0.986996650628022
0,"SVM","regENN",7,0.184013938347635,0.130339917601251,0.987517482970207
0,"SVM","regENN",8,0.182569816820999,0.131887919167858,0.987367584441687
0,"SVM","regENN",9,0.186600423520487,0.134490696470671,0.986894069800776
0,"SVM","regENN",10,0.190943110483036,0.131982197589873,0.986702589420827
0,"SVM","regENN",11,0.179225004542568,0.12789509776307,0.987788256902809
0,"SVM","regENN",12,0.188580157954418,0.132402150781157,0.98671913913514
0,"SVM","regENN",13,0.187179839963887,0.132727084179637,0.986769601788235
0,"SVM","regENN",14,0.1787783380606,0.129742021125112,0.988297032928942
0,"SVM","regENN",15,0.207087498047853,0.139130116668829,0.984131827029739
0,"SVM","regENN",16,0.179195076083711,0.128459508858095,0.987974072075248
0,"SVM","regENN",17,0.188683886843325,0.129776750657867,0.987027953430697
0,"SVM","regENN",18,0.192264613953335,0.137136608521708,0.986141804063132
0,"SVM","regENN",19,0.184890965836619,0.135414869599168,0.987145987565642
0,"SVM","regENN",20,0.188591760175746,0.132984705406194,0.986575639909105
0,"SVM","regENN",21,0.176877170901743,0.131455179015798,0.988181088878448
0,"SVM","regENN",22,0.196196043924937,0.133152932951018,0.985329627909672
0,"SVM","regENN",23,0.184509911474104,0.130249909831476,0.987511756638122
0,"SVM","regENN",24,0.194440726198347,0.136128128024217,0.985916094561986
0,"SVM","regENN",25,0.189342478378282,0.133695460632049,0.986766742110932
0,"1NN","regAENN",1,0.805262956328856,0.612994454713493,0.75908385223723
0,"1NN","regAENN",2,0.804627788485892,0.599796672828096,0.759062178947801
0,"1NN","regAENN",3,0.837450567717443,0.61819944598338,0.741931389725907
0,"1NN","regAENN",4,0.839447835492706,0.61943674976916,0.733836449806886
0,"1NN","regAENN",5,0.819153498359458,0.616928044280443,0.74649973535267
0,"1NN","regAENN",6,0.844065098818449,0.631366574330563,0.730243978587181
0,"1NN","regAENN",7,0.781977208682156,0.583290203327172,0.774581831295993
0,"1NN","regAENN",8,0.801470575367117,0.60460258780037,0.756553458349693
0,"1NN","regAENN",9,0.865041165328088,0.64679889298893,0.718345852733896
0,"1NN","regAENN",10,0.838879842755634,0.629852262234534,0.74333975147447
0,"1NN","regAENN",11,0.806596360929031,0.602079482439926,0.752660786323385
0,"1NN","regAENN",12,0.821432520857086,0.618650646950092,0.748013066170316
0,"1NN","regAENN",13,0.848997834068498,0.619584487534626,0.727812650085603
0,"1NN","regAENN",14,0.860886853840391,0.637152073732719,0.72863218140027
0,"1NN","regAENN",15,0.797799654270982,0.606987060998152,0.764491356457341
0,"1NN","regAENN",16,0.787079706856078,0.590387453874539,0.767991507010932
0,"1NN","regAENN",17,0.855136022939352,0.633056325023084,0.733553957344514
0,"1NN","regAENN",18,0.837798912355381,0.631588180978763,0.736859581358775
0,"1NN","regAENN",19,0.818796341692003,0.618770794824399,0.747907967006349
0,"1NN","regAENN",20,0.821857651908164,0.608826247689464,0.745058010143319
0,"1NN","regAENN",21,0.8095896475451,0.61503696857671,0.752392501582582
0,"1NN","regAENN",22,0.824091837568341,0.613308687615527,0.741171639022743
0,"1NN","regAENN",23,0.845952778479057,0.62342566943675,0.737484957159699
0,"1NN","regAENN",24,0.819877645898181,0.611725092250923,0.749592851595675
0,"1NN","regAENN",25,0.818256597681389,0.615623268698061,0.752856215537593
0,"CART","regAENN",1,0.577242414970729,0.447449340057819,0.876203907225308
0,"CART","regAENN",2,0.583407826983813,0.445713897342112,0.873334183601635
0,"CART","regAENN",3,0.583931580356406,0.440865142604486,0.874529754567817
0,"CART","regAENN",4,0.608353705031852,0.462492968469593,0.860210848699468
0,"CART","regAENN",5,0.574992426580312,0.431176097120324,0.875097225563932
0,"CART","regAENN",6,0.586298771098456,0.440228071881317,0.869846087023197
0,"CART","regAENN",7,0.604544140490014,0.454651721246416,0.865272342515854
0,"CART","regAENN",8,0.58275067510292,0.440023013793527,0.871295416102166
0,"CART","regAENN",9,0.562490156815264,0.4339669831816,0.880910779005899
0,"CART","regAENN",10,0.58063727405676,0.44220008057361,0.877038566819231
0,"CART","regAENN",11,0.607954304819668,0.472169864662886,0.859485114081784
0,"CART","regAENN",12,0.58952759260931,0.448416348820864,0.870209618091995
0,"CART","regAENN",13,0.585900237888944,0.447471548981317,0.870371014756128
0,"CART","regAENN",14,0.597840153162765,0.450544691878936,0.869131129951932
0,"CART","regAENN",15,0.596646072713018,0.448843724493414,0.86827969241903
0,"CART","regAENN",16,0.619303859223869,0.468864087234198,0.856360453458943
0,"CART","regAENN",17,0.570978194764976,0.444535464620683,0.881210537453367
0,"CART","regAENN",18,0.60184260981283,0.45649893151513,0.864208107503132
0,"CART","regAENN",19,0.641334619963808,0.488003667718711,0.845340464343243
0,"CART","regAENN",20,0.579347813814396,0.438971332200067,0.873314499904343
0,"CART","regAENN",21,0.588307049542184,0.44806635662996,0.869249907356456
0,"CART","regAENN",22,0.588629008461608,0.443582756215134,0.867948311458585
0,"CART","regAENN",23,0.588859448236303,0.4568154446506,0.872800545809817
0,"CART","regAENN",24,0.598410831753586,0.453279469213209,0.866602551244745
0,"CART","regAENN",25,0.58534649325487,0.443659631238573,0.87352732541071
0,"RF","regAENN",1,0.213884123799088,0.154692353666051,0.983003966995696
